# WORK IN PROGRESS - DRAFT - This file is under active development and should not be taken as final
id,category,scenario,driver,fault,location,traffic_control,police_report,damage_severity,est_damage_usd,typical_deductible_usd,other_party,our_coverage_used,deductible_applies,subrogation_possible,recommend_filing,financial_reasoning,premium_impact,fraud_risk,fraud_patterns_relevant,paper_accident_risk,ohio_notes,pipeline_outcome
SV-01,Single Vehicle,Owner hits pothole - tire/rim damage,Owner,At-fault,Road,N/A,No,Minor,400,500,None,None (or Collision if rim bent),N/A,Maybe (vs city),No,"Below deductible; may file pothole claim against city/municipality (not insurance)",None,Low,None,Low,"Ohio municipalities may be liable for pothole damage if reported previously; file with city not insurer",NOT_FILED
SV-02,Single Vehicle,Owner hits deer,Owner,Not-at-fault (animal),Road,N/A,Yes,Moderate,3000,250,"None (animal)","Comprehensive",Yes,No,Yes,"Comprehensive deductible often lower ($250); $2.75K payout; comp claims rarely raise premiums in Ohio",None-Minimal,Low,None,Low,"Deer strikes = comprehensive (not collision); Ohio has high deer population; comp claims typically no surcharge",PAID
SV-03,Single Vehicle,Owner slides on ice - hits guardrail,Owner,At-fault,Road,N/A,Yes,Major,6000,500,None,"Collision",Yes,No,Yes,"$5.5K payout; single-vehicle = at-fault; premium increase ~$2K; net benefit ~$3.5K",+25-35% for 3yr,Low,"#6 Owner Give-Up (if car had mechanical issues)",Low,"Single-vehicle at-fault; weather is mitigating factor but still at-fault for insurance purposes",PAID
SV-04,Single Vehicle,Owner hits mailbox/pole - minor,Owner,At-fault,Road,N/A,No,Minor,800,500,None,"Collision",Yes,No,No,"$300 payout; premium increase ~$2K; massive net loss; pay out of pocket",+25-35% for 3yr,Low-Medium,"#3 Paper Accident (single vehicle + no police + no witness)",Medium,"Under $1K — no police required; but tiny payout not worth premium increase",NOT_FILED
SV-05,Single Vehicle,Friend slides on ice - hits tree - total loss,Friend,At-fault,Road,N/A,Yes,Total Loss,18000,500,None,"Collision (ACV payout)",Yes,No,Yes,"Total loss = ACV payout minus deductible; Ohio 100% ACV rule; significant payout worth premium increase",+40-50% for 3-5yr,Medium,"#6 Owner Give-Up (friend driving + total loss = check if deliberate)",Low,"Ohio 100% ACV total loss rule; permissive user; owner's premium affected significantly",PAID or ESCALATED
SV-06,Single Vehicle,Owner drives into ditch (distracted),Owner,At-fault,Road,N/A,No,Moderate,2500,500,None,"Collision",Yes,No,Depends,"$2K payout vs ~$2K premium increase; borderline; single vehicle + no police + distracted = scrutiny",+25-35% for 3yr,Medium,"#3 Paper Accident (single vehicle + no police); #5 Prior Damage (check for pre-existing)",Medium,"Borderline financial sense; no police for >$1K questionable; may need photos to prove",PAID (marginal)
HR-01,Hit-and-Run,Owner hit by fleeing driver on road,Owner,Not-at-fault,Road,N/A,Yes,Major,7000,500,"Unknown(fled)","UM/UIM",Yes (varies),No,Yes,"Police report filed; UM/UIM covers hit-and-run; not-at-fault = no premium surcharge",None,Low,None,Low,"Ohio: UM/UIM optional but insurers must offer; police report essential for hit-and-run claims",PAID
HR-02,Hit-and-Run,Owner hit by fleeing driver - no police,Owner,Not-at-fault,Road,N/A,No,Moderate,3000,500,"Unknown(fled)","Collision (UM/UIM may require police report)",Yes,No,Yes but risky,"Without police report UM/UIM may deny; use Collision instead; $2.5K payout; but no police for >$1K and hit-and-run is a significant red flag",None,High,"#3 Paper Accident (hit-and-run + no police + no witness = high risk)",High,"Major flag: hit-and-run WITHOUT police report; Ohio UM/UIM insurers typically require police report; Paper Accident Pattern #3",PAID (heavy scrutiny) or ESCALATED
HR-03,Hit-and-Run,Friend hit by fleeing driver,Friend,Not-at-fault,Road,N/A,Yes,Moderate,4000,500,"Unknown(fled)","UM/UIM",Yes (varies),No,Yes,"Permissive user; police report filed; standard UM/UIM claim",None,Low-Medium,"#3 Paper Accident (permissive user + hit-and-run)",Low,"Police report strengthens claim; permissive use covered",PAID
HR-04,Hit-and-Run,Owner side-swiped by fleeing driver - minor,Owner,Not-at-fault,Road,N/A,No,Minor,1500,500,"Unknown(fled)","Collision",Yes,No,Depends,"$1K payout; no police for hit-and-run is suspicious even if damage is near $1K threshold; fraud risk",None,Medium,"#3 Paper Accident (hit-and-run + no police)",Medium-High,"Hit-and-run without police: insurer will question why not reported; >$1K should have police report",PAID (with scrutiny)
LC-01,Lane Change,Owner side-swiped by merging car,Owner,Not-at-fault,Highway,N/A,Yes,Moderate,2500,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Other driver failed to check blind spot; clear liability",None,Low,None,Low,"Merging driver at fault; standard claim",PAID
LC-02,Lane Change,Owner merges into other car,Owner,At-fault,Highway,N/A,No,Minor,1000,500,"Known+Insured","Collision + Liability",Yes,No,No,"$500 payout; premium increase ~$2K; settle out of pocket; exchange info",+25-35% for 3yr,Low,None,Low-Medium,"At-fault merge; minor; not worth filing",NOT_FILED
LC-03,Lane Change,Friend side-swiped on highway,Friend,Not-at-fault,Highway,N/A,No,Minor,800,500,"Known+Insured","Other's Liability",No,Yes,Yes,"File against other's insurance; permissive user; no police needed under $1K",None,Low,None,Low,"Permissive use: Acuity v. Progressive (2023) — friend's insurer pays first; under $1K",PAID
MV-01,Multi-Vehicle,Owner in 3-car chain - pushed into car ahead,Owner,Not-at-fault,Road,N/A,Yes,Major,9000,500,"Known+Insured","Other's Liability (rear car)",No,Yes,Yes,"Ohio: rear car typically liable for chain reaction; owner pushed = not at fault",None,Low,"#1 Staged Accident (multi-vehicle chain = check for connected parties)",Low,"Chain reaction: last car usually at fault in Ohio; multi-party claim may take longer",PAID
MV-02,Multi-Vehicle,Owner is rear car in 3-car chain - at fault,Owner,At-fault,Road,N/A,Yes,Major,15000,500,"Known+Insured","Collision (our car) + Liability (2 other cars)",Yes,No,Yes,"Major damage; $14.5K own car payout; also Liability for 2 other vehicles; premium will spike but damage too high to self-pay",+50-60% for 3-5yr,Low,None,Low,"Multi-vehicle at-fault; significant liability exposure; may approach coverage limit",PAID
WN-01,Weather,Hail damage to parked car,Owner,Not-at-fault (weather),Parking Lot,N/A,No,Moderate,4000,250,"None (weather)","Comprehensive",Yes,No,Yes,"Comp deductible $250; $3.75K payout; comprehensive claims typically no premium surcharge in Ohio",None-Minimal,Low,None,Low,"Comprehensive coverage; no police needed; common in Ohio spring storms",PAID
WN-02,Weather,Flood damage - car submerged,Owner,Not-at-fault (weather),Road,N/A,No,Total Loss,16000,250,"None (weather)","Comprehensive",Yes,No,Yes,"Total loss via comprehensive; ACV payout minus deductible; no premium surcharge",None-Minimal,Low,"#6 Owner Give-Up (check if car had pre-existing issues + drove into known flood zone)",Low,"Comprehensive total loss; Ohio flash floods common; check if voluntary entry into flooded area",PAID
WN-03,Weather,Fallen tree on car,Owner,Not-at-fault (weather),Parking Lot,N/A,No,Major,6000,250,"None (weather)","Comprehensive",Yes,Maybe (neighbor's tree),Yes,"$5.75K payout; comp no surcharge; possible subrogation if neighbor's dead tree (negligence)",None-Minimal,Low,None,Low,"Comprehensive; may subrogate against property owner if tree was dead/negligent maintenance",PAID
WN-04,Weather,Tornado/wind debris damage,Owner,Not-at-fault (weather),Road,N/A,Yes,Major,8000,250,"None (weather)","Comprehensive",Yes,No,Yes,"$7.75K payout; comp no surcharge; police report for insurance records",None-Minimal,Low,None,Low,"Declared weather event; straightforward comprehensive claim",PAID
TV-01,Theft,Car stolen - not recovered,Owner,Not-at-fault (crime),N/A,N/A,Yes,Total Loss,22000,500,Unknown,"Comprehensive",Yes,No,Yes,"Total loss ACV payout; police report essential; comp typically no surcharge",None-Minimal,Medium,"#6 Owner Give-Up (check: loan > ACV? mechanical issues? personal items removed?); #3 Paper Accident (verify police report authenticity)",Low,"Police report required; insurer will investigate; check for Owner Give-Up indicators",PAID or ESCALATED
TV-02,Theft/Vandalism,Car keyed/vandalized,Owner,Not-at-fault (crime),Parking Lot,N/A,Yes,Minor,1500,500,"Unknown","Comprehensive",Yes,No,Yes,"$1K payout; comp no surcharge; police report strengthens claim",None-Minimal,Low,"#5 Prior Damage (check if scratches are truly new)",Low,"Vandalism = comprehensive; police report filed",PAID
TV-03,Theft,Catalytic converter stolen,Owner,Not-at-fault (crime),Parking Lot,N/A,Yes,Moderate,2500,250,"Unknown","Comprehensive",Yes,No,Yes,"$2.25K payout; very common theft in Ohio (Honda/Toyota targets); comp no surcharge",None-Minimal,Low,None,Low,"Epidemic in Ohio; straightforward comprehensive claim with police report",PAID
TV-04,Theft,Car break-in - window + items stolen,Owner,Not-at-fault (crime),Parking Lot,N/A,Yes,Minor,1000,500,"Unknown","Comprehensive (window) + Homeowner's/Renter's (items)",Yes,No,Depends,"Window $400 via comp (-$500 deductible = $0); items via homeowner's; may not be worth filing on auto policy",None-Minimal,Low,"#4 Inflated Repair (check item value claims)",Low,"Auto comp covers glass only; personal items under homeowner's/renter's policy; may not be worth auto claim",NOT_FILED (for auto)
SP-01,Special,Road rage incident - other driver aggressive,Owner,Not-at-fault,Road,N/A,Yes,Major,8000,500,"Known+Insured","Other's Liability + Collision",No (vs other),Yes,Yes,"Intentional act by other driver; police report with assault charge; file against their insurance",None,Low-Medium,"#1 Staged Accident (verify not mutual road rage)",Low,"Intentional acts excluded from other's auto policy BUT their Liability may still cover your damage; complex claim",PAID or ESCALATED
SP-02,Special,Friend drunk driving - at fault - total loss,Friend,At-fault,Road,N/A,Yes,Total Loss,25000,500,"Known+Insured","Collision (may be voided by DUI exclusion)",Yes,No,Depends,"CRITICAL: Many Ohio policies exclude coverage for DUI/intoxication; check policy exclusions; if excluded = DENIED",+60%+ or cancellation,High,"#6 Owner Give-Up (friend driving drunk + total loss); #1 Staged Accident (check relationship)",Low,"Ohio: DUI may trigger policy exclusion; Criminal charges; Owner may lose coverage entirely; Premium catastrophic",DENIED or PAID (policy-dependent)
SP-03,Special,Uninsured motorist hits owner,Owner,Not-at-fault,Road,N/A,Yes,Major,10000,500,"Known+Uninsured","UM/UIM",Yes,No,Yes,"Ohio: UM/UIM optional but commonly carried; $9.5K payout; not-at-fault = no surcharge; police report essential",None,Low,"#3 Paper Accident (verify other driver truly uninsured and exists)",Low,"Ohio: UM/UIM optional but insurers must offer on all policies; police report confirms other party and uninsured status",PAID
SP-04,Special,Owner backing out of driveway - hits neighbor's car,Owner,At-fault,Residential,N/A,No,Minor,900,500,"Known+Insured","Liability (neighbor) + Collision (own)",Yes,No,No,"$400 own payout; premium increase ~$2K; settle with neighbor directly; under $1K",+25-35% for 3yr,Low,None,Low,"At-fault minor; settle privately; not worth premium increase",NOT_FILED
SP-05,Special,Medical emergency while driving (seizure/heart),Owner,Not-at-fault (medical),Road,N/A,Yes,Major,12000,500,None,"Collision",Yes,No,Yes,"Medical emergency may mitigate fault determination; Ohio: sudden medical incapacitation is a defense; $11.5K payout",None-Low (if medical documented),Low,None,Low,"Ohio sudden medical emergency doctrine may negate negligence; need medical records as proof",PAID
SP-06,Special,Teen driver (child) at-fault accident,Friend (child),At-fault,Road,N/A,Yes,Moderate,5000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"Listed driver on policy; $4.5K payout; premium increase significant for young drivers",+50-80% for 3-5yr,Low,None,Low,"Young driver surcharge on top of at-fault surcharge; very expensive long-term",PAID
SP-07,Special,Rideshare (Uber/Lyft) driver hits owner,Owner,Not-at-fault,Road,N/A,Yes,Major,9000,500,"Known+Commercially Insured","Rideshare company's commercial policy",No,Yes,Yes,"Rideshare companies carry $1M liability; file against their commercial insurance",None,Low,None,Low,"Uber/Lyft have commercial policies in Ohio; higher limits; straightforward if driver was on-app",PAID
SP-08,Special,Owner's car damaged by falling cargo from truck,Owner,Not-at-fault,Highway,N/A,Yes,Major,7000,500,"Known (trucking company)","Other's commercial Liability or Collision+subrogate",No (vs other),Yes,Yes,"File against trucking company; commercial liability; may take longer but higher limits",None,Low,"#5 Prior Damage (verify damage consistent with falling debris)",Low,"Federal Motor Carrier liability; commercial insurance",PAID
